stratum,rho,method,delta_a,delta_b,joint_z,ppl_ratio,flag_share,presence_both
low,0.1866862028837204,aligned,0.8719204487279058,0.6015717731788754,-0.1058938622570887,7.51307920253564,0.85,0.0
low,0.1866862028837204,extrinsic,0.6063707867637277,0.292136524443049,-0.3328223421437838,8.777793195133858,0.9,0.0
low,0.1866862028837204,frechet,0.6611661588773131,0.3760091369971633,-0.29214781249774996,8.674193139235323,0.9,0.0
medium,0.3212890625,aligned,0.3468027929775417,0.4216346193104982,-0.23052209423450742,5.91185255297489,0.9,0.0
medium,0.3212890625,extrinsic,0.5066039386205375,0.6215376395266503,-0.08503566335464037,6.4131512665974935,0.9,0.0
medium,0.3212890625,frechet,0.4643508362583816,0.5435601729433983,-0.12289033793032574,6.535534703285565,0.9,0.0
high,0.5660807490348816,aligned,0.7622494406998157,0.7148309642449021,-0.17403462498334785,7.863750494303504,0.9,0.0
high,0.5660807490348816,extrinsic,0.8515386611223221,0.7768387123942375,-0.1248417053068743,8.506745121323931,0.9,0.0
high,0.5660807490348816,frechet,0.8586116142570972,0.7887790659442544,-0.12133137029775265,8.096330793929592,0.9,0.0
